id,wave,mstat,pcnt,kcnt,finhelp,nonfinhelp,guide,caresupport,hhres,interact_f,majong_f,provhelp_f,sport_f,community_f,volunteer_f,sccare_f,course_f,stock_f,scinternet_f,fpamt,fcamt,foamt
10104101001,2013,married,1,1,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,0,NA,0
10104101002,2013,married,1,1,2,1,2,1,4,1,4,4,4,4,4,4,4,4,4,0,NA,0
10104102001,2013,married,0,1,2,2,2,1,6,3,4,4,4,4,4,4,4,4,4,0,0,0
10104102002,2013,married,0,1,2,2,1,1,6,3,4,4,4,4,4,4,4,4,4,0,0,0
10104103001,2013,married,1,1,2,2,2,2,3,2,2,4,4,4,4,4,4,4,4,0,0,0
10104103002,2013,married,1,1,2,2,2,1,3,4,4,3,4,4,4,4,4,4,4,0,0,0
10104104001,2013,married,0,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,0,0,0
10104104002,2013,married,0,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,0,0,0
10104105001,2013,married,0,1,2,2,2,1,2,1,4,4,4,4,4,4,4,4,4,0,6800,0
10104105002,2013,married,0,1,2,2,2,1,2,1,4,4,4,4,4,4,4,4,4,0,6800,0
10104106001,2013,widowed,0,1,2,NA,2,1,5,4,4,4,4,4,4,4,4,4,4,0,1250,0
10104107001,2013,married,0,1,2,2,2,1,8,4,4,4,4,4,4,4,4,4,4,0,NA,0
10104107002,2013,married,0,1,2,2,1,1,8,4,4,4,4,4,4,4,4,4,4,0,NA,0
10104108001,2013,married,1,1,2,2,2,1,5,4,4,4,4,4,4,4,4,4,4,100,200,0
10104108002,2013,married,1,1,2,2,2,1,5,4,4,4,4,4,4,4,4,4,4,100,200,0
10104109001,2013,married,0,1,2,2,2,1,3,1,4,4,4,4,4,4,4,4,4,0,500,0
10104109002,2013,married,0,1,2,2,2,1,3,4,4,4,4,4,4,4,4,4,4,0,500,0
10104110001,2013,married,0,1,2,2,2,1,6,3,4,4,4,4,4,4,4,4,4,0,0,0
10104110002,2013,married,0,1,2,2,1,NA,6,2,3,4,4,4,4,4,4,4,4,0,0,0
10104111001,2013,widowed,1,1,2,2,2,1,6,2,4,4,4,4,4,4,4,4,4,0,0,0
10104112001,2013,married,0,1,2,2,1,1,4,4,4,3,4,4,4,4,4,4,4,0,0,0
10104112002,2013,married,0,1,2,2,2,1,4,1,4,3,4,4,4,4,4,4,4,0,0,0
10104113001,2013,married,1,1,2,2,2,1,5,4,4,4,4,4,4,4,4,4,4,30,200,400
10104113002,2013,married,1,1,2,2,2,1,5,4,4,4,4,4,4,4,4,4,4,30,200,400
10104114001,2013,married,0,1,2,1,2,1,5,4,4,4,4,4,4,4,4,4,4,0,0,0
10104114002,2013,married,0,1,2,2,2,1,5,4,4,4,4,4,4,4,4,4,4,0,0,0
10104115001,2013,married,1,1,2,2,2,NA,5,2,4,4,4,4,4,4,4,4,4,0,3000,3000
10104115002,2013,married,1,1,2,2,2,1,5,4,4,4,4,4,4,4,4,4,4,0,3000,3000
10104116001,2013,married,0,1,2,2,2,1,2,3,4,4,4,4,4,4,4,4,4,0,1700,0
10104116002,2013,married,0,1,2,2,2,1,2,4,4,4,4,4,4,4,4,4,4,0,1700,0
10104117001,2013,married,0,1,2,2,2,1,5,3,4,4,4,4,4,4,4,4,4,0,0,0
10104117002,2013,married,0,1,2,2,2,1,5,3,4,4,4,4,4,4,4,4,4,0,0,0
10104118001,2013,married,NA,1,2,1,2,1,7,3,4,3,4,4,4,4,4,4,4,NA,250,200
10104118002,2013,married,NA,1,2,1,1,1,7,4,4,4,4,4,4,4,4,4,4,NA,250,200
10104119001,2013,married,0,NA,2,1,1,1,6,4,4,4,4,4,4,4,4,4,4,0,NA,0
10104119002,2013,married,0,NA,2,1,2,1,6,4,4,4,4,4,4,4,4,4,4,0,NA,0
10104120001,2013,married,0,1,2,2,2,1,6,4,4,2,4,4,4,4,4,4,4,NA,0,0
10104120002,2013,married,0,1,2,2,1,1,6,3,4,3,4,4,4,4,4,4,4,NA,0,0
10104121001,2013,married,1,1,NA,2,2,1,4,3,3,4,4,4,4,4,4,4,4,0,0,0
10104121002,2013,married,1,1,2,2,2,1,4,3,4,4,4,4,4,4,4,4,4,0,0,0
10104122001,2013,married,0,1,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,0,0,0
10104122002,2013,married,0,1,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,0,0,0
10104123001,2013,widowed,0,1,2,1,2,1,5,4,4,4,4,4,4,4,4,4,4,0,0,0
10104124001,2013,married,0,1,2,2,1,1,6,2,4,4,4,4,4,4,4,4,4,NA,1000,0
10104124002,2013,married,0,1,2,2,2,1,6,4,4,4,4,4,4,4,4,4,4,NA,1000,0
10104125001,2013,married,1,1,1,2,2,1,3,2,4,4,4,4,4,4,4,4,4,NA,500,0
10104125002,2013,married,1,1,2,2,2,1,3,2,2,4,4,4,4,4,4,4,4,NA,500,0
10104126001,2013,married,NA,1,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,NA,0,0
10104127001,2013,married,NA,1,NA,NA,NA,1,3,4,4,4,4,4,4,4,4,4,4,NA,0,0
10104127002,2013,married,NA,1,2,2,2,1,3,4,4,4,4,4,4,4,4,4,4,NA,0,0
10104128001,2013,married,0,1,1,1,1,1,6,2,4,4,4,4,4,4,4,4,4,0,200,0
10104128002,2013,married,0,1,2,2,2,1,6,4,4,4,4,4,4,4,4,4,4,0,200,0
10104129001,2013,married,1,1,2,2,2,2,6,4,4,4,4,4,4,4,4,4,4,0,3000,200
10104129002,2013,married,1,1,2,2,2,NA,6,3,4,4,4,4,4,4,4,4,4,0,3000,200
10104130001,2013,married,0,1,2,2,2,1,4,2,3,4,4,4,4,4,4,4,4,300,0,0
10104130002,2013,married,0,1,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,300,0,0
10104201001,2013,married,1,1,NA,NA,NA,1,4,4,4,4,4,4,4,4,4,4,4,0,10000,0
10104201002,2013,married,1,1,NA,NA,NA,1,4,4,4,4,4,4,4,4,4,4,4,0,10000,0
10104203001,2013,married,0,1,NA,NA,NA,2,6,4,4,4,4,4,4,4,4,4,4,0,0,0
10104203002,2013,married,0,1,2,2,2,2,6,4,4,4,4,4,4,4,4,4,4,0,0,0
10104204001,2013,widowed,0,1,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,0,2250,0
10104205001,2013,married,0,1,2,2,2,1,2,4,4,4,3,4,4,4,4,4,4,0,0,0
10104205002,2013,married,0,1,2,2,2,2,2,4,3,3,4,4,4,4,4,4,4,0,0,0
10104206001,2013,married,0,1,2,2,2,1,3,2,4,4,4,4,4,4,4,4,4,0,0,0
10104206002,2013,married,0,1,2,2,2,1,3,1,4,4,4,4,3,4,4,4,4,0,0,0
10104207001,2013,married,0,1,2,2,2,1,7,4,4,4,4,4,4,4,4,4,4,0,0,0
10104207002,2013,married,0,1,2,2,2,1,7,4,4,4,4,4,4,4,4,4,4,0,0,0
10104208001,2013,widowed,1,1,2,2,2,1,4,1,4,4,4,1,4,4,4,4,4,0,1700,0
10104209001,2013,widowed,0,1,2,2,2,1,3,1,4,4,4,1,4,4,4,4,4,0,3500,0
10104210001,2013,widowed,0,1,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,0,5500,0
10104212001,2013,widowed,1,1,2,2,2,1,5,4,4,4,4,4,4,4,4,4,4,50,0,400
10104217001,2013,married,0,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,0,0,0
10104217002,2013,married,0,1,2,2,2,2,4,3,4,4,4,4,4,4,4,4,4,0,0,0
10104218002,2013,separated,1,1,2,2,2,1,2,3,4,4,4,4,4,4,4,4,4,0,0,0
10104219001,2013,separated,0,1,NA,NA,NA,1,5,2,2,4,4,4,4,4,4,4,4,0,0,0
10104220001,2013,widowed,0,1,NA,NA,NA,1,4,4,4,4,4,4,4,4,4,4,4,0,300,0
10104221001,2013,married,0,1,2,2,2,1,6,2,1,4,4,4,4,4,4,4,4,0,0,0
10104221002,2013,married,0,1,1,2,2,1,6,1,4,4,4,4,4,4,4,4,4,0,0,0
10104222001,2013,married,0,1,NA,NA,NA,2,5,3,3,4,4,4,4,4,4,4,4,0,0,0
10104222002,2013,married,0,1,NA,NA,NA,1,5,2,1,4,4,4,4,4,4,4,4,0,0,0
10104224001,2013,married,1,1,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,3000,0,0
10104225001,2013,married,0,1,2,2,2,1,6,4,1,4,4,4,4,4,4,4,4,0,5000,0
10104225002,2013,married,0,1,2,2,2,1,6,1,4,4,4,4,3,3,4,4,4,0,5000,0
10104226001,2013,married,0,1,2,2,1,1,5,4,4,4,4,4,4,4,4,4,4,0,3500,0
10104226002,2013,married,0,1,2,1,1,2,5,1,4,4,4,4,4,4,4,4,4,0,3500,0
10104227001,2013,married,0,1,2,2,2,1,3,1,4,2,1,2,4,4,4,4,4,NA,23500,0
10104228001,2013,married,0,1,NA,NA,NA,1,4,4,4,4,4,4,4,4,4,4,4,0,0,0
10104228002,2013,married,0,1,2,2,2,1,4,1,4,4,4,4,4,4,4,4,4,0,0,0
10104229001,2013,married,0,1,NA,NA,NA,1,2,2,4,4,4,4,4,4,4,4,4,0,0,2000
10104229002,2013,married,0,1,NA,NA,NA,2,2,4,4,4,4,4,4,4,4,4,4,0,0,2000
10104230001,2013,separated,1,1,NA,NA,NA,2,2,1,4,4,4,4,4,4,4,4,4,0,0,0
10104231001,2013,married,1,1,2,2,2,1,3,1,4,4,4,4,4,4,4,4,4,0,0,0
10104231002,2013,married,1,1,NA,NA,NA,1,3,4,4,4,4,4,4,4,4,4,4,0,0,0
10104233001,2013,married,0,1,2,2,2,1,6,4,4,4,4,4,4,4,4,4,4,0,1300,0
10104233002,2013,married,0,1,2,2,2,1,6,4,4,4,4,4,4,4,4,4,4,0,1300,0
10104234001,2013,married,0,1,2,1,2,1,8,1,2,4,4,4,4,4,4,4,4,0,0,2000
10104234002,2013,married,0,1,2,2,2,1,8,4,4,4,4,4,4,4,4,4,4,0,0,2000
10104301001,2013,married,0,1,1,1,1,1,6,1,4,4,4,4,4,4,4,4,4,0,0,0
10104301002,2013,married,0,1,2,2,2,1,6,2,4,4,4,4,4,4,4,4,4,0,0,0
10104302001,2013,married,0,1,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,0,0,0
10104303001,2013,married,0,1,2,1,2,1,7,2,2,4,4,4,4,4,4,4,4,0,1300,2000
10104303002,2013,married,0,1,2,2,2,1,7,4,4,4,4,4,4,4,4,4,4,0,1300,2000
10104304001,2013,widowed,0,1,2,2,2,1,5,1,4,2,4,4,4,4,4,4,4,0,1200,0
10104305001,2013,widowed,0,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,0,500,0
10104306001,2013,married,1,1,2,2,2,1,8,4,4,4,4,4,4,4,4,4,4,0,300,0
10104307001,2013,married,0,1,2,1,2,2,4,4,4,4,4,4,4,4,4,4,4,0,NA,0
10104307002,2013,married,0,1,2,2,2,2,4,3,4,4,4,4,4,4,4,4,4,0,NA,0
10104308001,2013,widowed,0,1,2,2,1,1,5,2,4,4,4,4,4,4,4,4,4,0,200,500
10104309001,2013,married,0,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,0,0,0
10104309002,2013,married,0,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,0,0,0
10104310001,2013,widowed,0,0,2,2,2,1,6,4,4,4,4,4,4,4,4,4,4,0,6200,0
10104311001,2013,married,0,1,2,2,2,1,6,1,4,4,4,4,4,4,4,4,4,0,0,0
10104311002,2013,married,0,1,2,2,2,1,6,1,4,4,4,4,4,4,4,4,4,0,0,0
10104312001,2013,married,0,1,2,2,2,1,6,1,4,4,4,4,4,4,4,4,4,0,0,0
10104312002,2013,married,0,1,2,2,2,1,6,4,4,4,4,4,4,4,4,4,4,0,0,0
10104313001,2013,married,0,1,NA,NA,NA,1,2,4,4,4,4,4,4,4,4,4,4,0,2000,0
10104313002,2013,married,0,1,2,2,2,1,2,1,2,2,4,4,4,4,4,4,4,0,2000,0
10104314001,2013,married,0,1,2,2,NA,1,4,1,4,4,4,4,4,4,4,4,4,0,300,50
10104314002,2013,married,0,1,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,0,300,50
10104315001,2013,married,0,1,2,2,2,1,6,4,4,4,4,4,4,4,4,4,4,0,0,0
10104315002,2013,married,0,1,NA,NA,NA,1,6,4,4,4,4,4,4,4,4,4,4,0,0,0
10104316001,2013,married,0,1,2,1,2,2,7,4,4,4,4,4,4,4,4,4,4,0,600,0
10104316002,2013,married,0,1,2,2,2,2,7,4,4,4,4,4,4,4,4,4,4,0,600,0
10104317001,2013,married,0,1,1,1,2,1,5,4,3,3,4,4,4,4,4,4,4,0,NA,0
10104317002,2013,married,0,1,2,2,2,1,5,4,4,4,4,4,4,4,4,4,4,0,NA,0
10104318001,2013,married,0,1,2,2,2,1,3,4,4,4,4,4,4,4,4,4,4,0,200,0
10104318002,2013,married,0,1,2,2,2,1,3,4,4,4,4,4,4,4,4,4,4,0,200,0
10104319001,2013,married,0,1,2,2,2,1,2,4,4,4,4,4,4,4,4,4,4,0,14000,500
10104319002,2013,married,0,1,2,2,2,1,2,4,4,3,4,4,4,4,4,4,4,0,14000,500
10104320001,2013,married,0,0,2,2,2,1,7,3,4,4,4,4,4,4,4,4,4,0,0,0
10104320002,2013,married,0,0,2,2,1,1,7,3,4,4,4,4,4,4,4,4,4,0,0,0
10104321001,2013,married,0,1,1,2,1,1,6,4,4,4,4,4,4,4,4,4,4,0,0,0
10104321002,2013,married,0,1,NA,NA,NA,1,6,3,4,4,4,4,4,4,4,4,4,0,0,0
10104322001,2013,married,0,1,2,2,2,1,5,4,4,4,4,4,4,4,4,4,4,0,0,500
10104322002,2013,married,0,1,1,2,2,1,5,2,4,4,4,4,4,4,4,4,4,0,0,500
10104323001,2013,widowed,0,1,2,2,2,1,6,4,4,4,4,4,4,4,4,4,4,0,3700,0
10104324001,2013,married,0,1,2,2,2,1,3,1,1,1,4,4,4,4,4,4,4,0,450,0
