ID,householdID,communityID,wave,raeducl,atotb,lbrf_c,hukou
010104101001,0101041010,0101041,2011,1,27000,retired,agri
010104101002,0101041010,0101041,2011,1,27000,employed,agri
010104102001,0101041020,0101041,2011,1,50250,others,agri
010104102002,0101041020,0101041,2011,1,50250,others,agri
010104103001,0101041030,0101041,2011,1,13020,employed,agri
010104103002,0101041030,0101041,2011,1,13020,employed,agri
010104104001,0101041040,0101041,2011,1,NA,employed,agri
010104104002,0101041040,0101041,2011,1,NA,NA,NA
010104105001,0101041050,0101041,2011,1,9000,employed,agri
010104105002,0101041050,0101041,2011,1,9000,employed,agri
010104106001,0101041060,0101041,2011,1,48320,retired,agri
010104106002,0101041060,0101041,2011,1,48320,retired,agri
010104107001,0101041070,0101041,2011,1,NA,others,agri
010104108001,0101041080,0101041,2011,1,NA,others,agri
010104108002,0101041080,0101041,2011,1,NA,others,agri
010104109001,0101041090,0101041,2011,1,138400,employed,agri
010104109002,0101041090,0101041,2011,1,138400,employed,agri
010104110001,0101041100,0101041,2011,1,70200,employed,agri
010104110002,0101041100,0101041,2011,1,70200,employed,agri
010104111001,0101041110,0101041,2011,1,36600,employed,agri
010104112001,0101041120,0101041,2011,1,46000,employed,agri
010104112002,0101041120,0101041,2011,1,46000,employed,agri
010104113001,0101041130,0101041,2011,1,14900,employed,agri
010104113002,0101041130,0101041,2011,1,14900,employed,agri
010104114001,0101041140,0101041,2011,1,51960,employed,agri
010104114002,0101041140,0101041,2011,1,51960,employed,agri
010104115001,0101041150,0101041,2011,1,24005,employed,agri
010104115002,0101041150,0101041,2011,1,24005,others,agri
010104116001,0101041160,0101041,2011,1,9400,employed,agri
010104116002,0101041160,0101041,2011,1,9400,employed,agri
010104117001,0101041170,0101041,2011,1,32780,others,agri
010104117002,0101041170,0101041,2011,1,32780,retired,agri
010104118001,0101041180,0101041,2011,1,43760,employed,agri
010104118002,0101041180,0101041,2011,1,43760,employed,agri
010104119001,0101041190,0101041,2011,1,NA,employed,agri
010104201001,0101042010,0101042,2011,1,69700,employed,agri
010104201002,0101042010,0101042,2011,1,69700,retired,agri
010104202001,0101042020,0101042,2011,1,204835,retired,nonagri
010104202002,0101042020,0101042,2011,1,204835,retired,nonagri
010104203001,0101042030,0101042,2011,1,320700,employed,nonagri
010104203002,0101042030,0101042,2011,1,320700,employed,nonagri
010104204001,0101042040,0101042,2011,1,5700,employed,agri
010104205001,0101042050,0101042,2011,1,125200,retired,nonagri
010104205002,0101042050,0101042,2011,2,125200,employed,nonagri
010104206001,0101042060,0101042,2011,1,377043,employed,nonagri
010104206002,0101042060,0101042,2011,1,377043,employed,nonagri
010104207001,0101042070,0101042,2011,1,304270,retired,nonagri
010104207002,0101042070,0101042,2011,1,304270,retired,nonagri
010104208001,0101042080,0101042,2011,1,250410,retired,nonagri
010104209001,0101042090,0101042,2011,1,NA,retired,nonagri
010104210001,0101042100,0101042,2011,1,1400,retired,nonagri
010104211001,0101042110,0101042,2011,1,84750,employed,nonagri
010104211002,0101042110,0101042,2011,1,84750,employed,agri
010104212001,0101042120,0101042,2011,1,281600,employed,nonagri
010104213001,0101042130,0101042,2011,1,150400,retired,nonagri
010104214001,0101042140,0101042,2011,NA,NA,NA,NA
010104214002,0101042140,0101042,2011,1,NA,retired,agri
010104215001,0101042150,0101042,2011,1,490,retired,nonagri
010104215002,0101042150,0101042,2011,1,490,retired,nonagri
010104216001,0101042160,0101042,2011,2,184000,retired,nonagri
010104217001,0101042170,0101042,2011,1,83170,retired,nonagri
010104217002,0101042170,0101042,2011,1,83170,retired,nonagri
010104218001,0101042180,0101042,2011,1,103600,employed,nonagri
010104218002,0101042180,0101042,2011,1,103600,retired,nonagri
010104219001,0101042190,0101042,2011,2,46400,employed,nonagri
010104220001,0101042200,0101042,2011,1,NA,retired,agri
010104221001,0101042210,0101042,2011,1,488900,retired,nonagri
010104221002,0101042210,0101042,2011,1,488900,retired,nonagri
010104222001,0101042220,0101042,2011,1,113100,retired,nonagri
010104222002,0101042220,0101042,2011,1,113100,retired,nonagri
010104223001,0101042230,0101042,2011,2,362435,employed,nonagri
010104223002,0101042230,0101042,2011,2,362435,retired,nonagri
010104224001,0101042240,0101042,2011,1,101403,retired,nonagri
010104224002,0101042240,0101042,2011,1,101403,employed,nonagri
010104225001,0101042250,0101042,2011,1,NA,retired,nonagri
010104226001,0101042260,0101042,2011,1,507200,retired,nonagri
